u_a,v_real,v_ref,u_delta,delta_d,px,py,theta1,cte,cte_real,epsi,vx,vy,kappa,beta
0.2000,0.0000,2.0000,-0.0353,-0.0034,11.7096,-81.7283,-3.2083,-0.0269,-0.0269,0.0419,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0356,-0.0034,11.7087,-81.7324,-3.2089,-0.0228,-0.0228,0.0413,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0371,-0.0034,11.7072,-81.7338,-3.2082,-0.0213,-0.0213,0.0420,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0369,-0.0034,11.7063,-81.7278,-3.2071,-0.0271,-0.0271,0.0431,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0355,-0.0034,11.7108,-81.7271,-3.2098,-0.0283,-0.0283,0.0404,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0548,2.0000,-0.0351,-0.0034,11.7066,-81.7272,-3.2093,-0.0278,-0.0278,0.0409,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0504,2.0000,-0.0352,-0.0034,11.7110,-81.7315,-3.2094,-0.0240,-0.0240,0.0408,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0353,-0.0034,11.7122,-81.7295,-3.2088,-0.0261,-0.0261,0.0414,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0609,2.0000,-0.0360,-0.0034,11.7129,-81.7373,-3.2103,-0.0184,-0.0184,0.0399,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0374,-0.0034,11.7138,-81.7330,-3.2077,-0.0227,-0.0227,0.0425,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0714,2.0000,-0.0369,-0.0034,11.7064,-81.7367,-3.2100,-0.0183,-0.0183,0.0402,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0374,-0.0034,11.7096,-81.7317,-3.2076,-0.0236,-0.0236,0.0426,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0770,2.0000,-0.0367,-0.0034,11.7121,-81.7353,-3.2099,-0.0203,-0.0203,0.0403,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0362,-0.0034,11.7066,-81.7359,-3.2103,-0.0191,-0.0191,0.0398,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0375,-0.0034,11.7081,-81.7351,-3.2083,-0.0201,-0.0201,0.0418,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0549,2.0000,-0.0386,-0.0034,11.7091,-81.7323,-3.2070,-0.0229,-0.0229,0.0432,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0379,-0.0034,11.7055,-81.7390,-3.2096,-0.0159,-0.0159,0.0406,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0369,-0.0034,11.7069,-81.7314,-3.2089,-0.0236,-0.0236,0.0413,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0641,2.0000,-0.0365,-0.0034,11.7069,-81.7354,-3.2100,-0.0196,-0.0196,0.0402,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0738,2.0000,-0.0370,-0.0034,11.7055,-81.7369,-3.2098,-0.0180,-0.0180,0.0404,0.0000,0.0000,-0.0020,-0.0008
0.2000,0.0000,2.0000,-0.0363,-0.0034,11.7087,-81.7299,-3.2089,-0.0252,-0.0252,0.0413,0.0000,0.0000,-0.0020,-0.0008
