%time,field.header.seq,field.header.stamp,field.header.frame_id,field.LLH.x,field.LLH.y,field.LLH.z,field.HorSpeed,field.SpeedDir,field.VerSpeed
1778036385808163133,12543,1778036385807572560,F2008915,24.788885073,120.998350298,103.613,0.019999999552965164,50.880001068115234,0.05000000074505806
1778036385845971767,12544,1778036385845004990,F2008915,24.788885073,120.998350298,103.613,0.019999999552965164,50.880001068115234,0.05000000074505806
1778036385845977765,12545,1778036385845148387,F2008915,24.788885073,120.998350298,103.613,0.019999999552965164,50.880001068115234,0.05000000074505806
1778036385845982359,12546,1778036385845284465,F2008915,24.788885073,120.998350298,103.613,0.019999999552965164,50.880001068115234,0.05000000074505806
1778036385846233500,12547,1778036385845427729,F2008915,24.788885283,120.998349634,103.683,0.019999999552965164,50.880001068115234,0.05000000074505806
1778036385879351035,12548,1778036385878682134,F2008915,24.788885283,120.998349634,103.683,0.009999999776482582,210.97000122070312,-0.009999999776482582
1778036385879877865,12549,1778036385878816204,F2008915,24.788885283,120.998349634,103.683,0.009999999776482582,210.97000122070312,-0.009999999776482582
1778036385879915492,12550,1778036385878936041,F2008915,24.788885283,120.998349634,103.683,0.009999999776482582,210.97000122070312,-0.009999999776482582
1778036385917188947,12551,1778036385916401214,F2008915,24.788885283,120.998349634,103.683,0.009999999776482582,210.97000122070312,-0.009999999776482582
1778036385917210258,12552,1778036385916509649,F2008915,24.788885984,120.998349211,103.869,0.009999999776482582,210.97000122070312,-0.009999999776482582
1778036385917224194,12553,1778036385916726000,F2008915,24.788885984,120.998349211,103.869,0.019999999552965164,314.8800048828125,0.0
1778036385917232257,12554,1778036385916802891,F2008915,24.788885984,120.998349211,103.869,0.019999999552965164,314.8800048828125,0.0
1778036385955436523,12555,1778036385954208409,F2008915,24.788885984,120.998349211,103.869,0.019999999552965164,314.8800048828125,0.0
1778036385955474197,12556,1778036385954354504,F2008915,24.788885984,120.998349211,103.869,0.019999999552965164,314.8800048828125,0.0
1778036385955503368,12557,1778036385954518932,F2008915,24.788886013,120.998348298,104.14,0.019999999552965164,314.8800048828125,0.0
1778036385955525415,12558,1778036385954620651,F2008915,24.788886013,120.998348298,104.14,0.029999999329447746,348.0899963378906,0.019999999552965164
1778036385988790781,12559,1778036385987872478,F2008915,24.788886013,120.998348298,104.14,0.029999999329447746,348.0899963378906,0.019999999552965164
1778036385988797678,12560,1778036385988025010,F2008915,24.788886013,120.998348298,104.14,0.029999999329447746,348.0899963378906,0.019999999552965164
1778036385988805172,12561,1778036385988167944,F2008915,24.788886013,120.998348298,104.14,0.029999999329447746,348.0899963378906,0.019999999552965164
1778036386026676947,12562,1778036386025664267,F2008915,24.788886013,120.998348298,104.14,0.029999999329447746,348.0899963378906,0.019999999552965164
1778036386026704249,12563,1778036386025812692,F2008915,24.788886459,120.998347935,104.387,0.029999999329447746,348.0899963378906,0.019999999552965164
1778036386026714252,12564,1778036386026082143,F2008915,24.788886459,120.998347935,104.387,0.03999999910593033,299.239990234375,0.0
1778036386026771599,12565,1778036386026198373,F2008915,24.788886459,120.998347935,104.387,0.03999999910593033,299.239990234375,0.0
1778036386063896152,12566,1778036386063334552,F2008915,24.788886459,120.998347935,104.387,0.03999999910593033,299.239990234375,0.0
1778036386063968798,12567,1778036386063465661,F2008915,24.788886808,120.998347425,104.436,0.03999999910593033,299.239990234375,0.0
1778036386064224329,12568,1778036386063747313,F2008915,24.788886808,120.998347425,104.436,0.029999999329447746,305.57000732421875,0.05999999865889549
1778036386064239071,12569,1778036386063825096,F2008915,24.788886808,120.998347425,104.436,0.029999999329447746,305.57000732421875,0.05999999865889549
1778036386098133021,12570,1778036386097076631,F2008915,24.788886808,120.998347425,104.436,0.029999999329447746,305.57000732421875,0.05999999865889549
1778036386098141700,12571,1778036386097232519,F2008915,24.788886808,120.998347425,104.436,0.029999999329447746,305.57000732421875,0.05999999865889549
1778036386098149520,12572,1778036386097501946,F2008915,24.788887157,120.998346734,104.582,0.029999999329447746,305.57000732421875,0.05999999865889549
1778036386135729128,12573,1778036386134801149,F2008915,24.788887157,120.998346734,104.582,0.07000000029802322,318.2200012207031,0.07999999821186066
1778036386135735171,12574,1778036386134933876,F2008915,24.788887157,120.998346734,104.582,0.07000000029802322,318.2200012207031,0.07999999821186066
1778036386135739469,12575,1778036386135081143,F2008915,24.788887157,120.998346734,104.582,0.07000000029802322,318.2200012207031,0.07999999821186066
1778036386135813810,12576,1778036386135161792,F2008915,24.788887157,120.998346734,104.582,0.07000000029802322,318.2200012207031,0.07999999821186066
1778036386169389806,12577,1778036386168499620,F2008915,24.788887546,120.998346171,104.743,0.07000000029802322,318.2200012207031,0.07999999821186066
1778036386169441008,12578,1778036386168635211,F2008915,24.788887546,120.998346171,104.743,0.07000000029802322,316.54998779296875,-0.009999999776482582
1778036386169510965,12579,1778036386168780238,F2008915,24.788887546,120.998346171,104.743,0.07000000029802322,316.54998779296875,-0.009999999776482582
1778036386206829550,12580,1778036386206123455,F2008915,24.788887546,120.998346171,104.743,0.07000000029802322,316.54998779296875,-0.009999999776482582
1778036386206835335,12583,1778036386206340818,F2008915,24.788888047,120.998345154,104.791,0.05999999865889549,336.79998779296875,0.009999999776482582
1778036386244464987,12584,1778036386243829180,F2008915,24.788888047,120.998345154,104.791,0.05999999865889549,336.79998779296875,0.009999999776482582
1778036386244498637,12586,1778036386243979921,F2008915,24.788888047,120.998345154,104.791,0.05999999865889549,336.79998779296875,0.009999999776482582
1778036386244529512,12587,1778036386244032931,F2008915,24.788888858,120.998344648,104.856,0.05999999865889549,336.79998779296875,0.009999999776482582
1778036386277825565,12588,1778036386277517953,F2008915,24.788888858,120.998344648,104.856,0.10000000149011612,314.5799865722656,0.05000000074505806
1778036386277839546,12590,1778036386277629472,F2008915,24.788888858,120.998344648,104.856,0.10000000149011612,314.5799865722656,0.05000000074505806
1778036386316291773,12591,1778036386315391567,F2008915,24.788888858,120.998344648,104.856,0.10000000149011612,314.5799865722656,0.05000000074505806
1778036386316301961,12592,1778036386315567665,F2008915,24.788889669,120.998344207,104.899,0.10000000149011612,314.5799865722656,0.05000000074505806
1778036386316313617,12593,1778036386315654853,F2008915,24.788889669,120.998344207,104.899,0.029999999329447746,289.92999267578125,-0.03999999910593033
1778036386316557843,12594,1778036386315713043,F2008915,24.788889669,120.998344207,104.899,0.029999999329447746,289.92999267578125,-0.03999999910593033
1778036386353846371,12595,1778036386353192949,F2008915,24.788889669,120.998344207,104.899,0.029999999329447746,289.92999267578125,-0.03999999910593033
1778036386353881501,12596,1778036386353335524,F2008915,24.788889669,120.998344207,104.899,0.029999999329447746,289.92999267578125,-0.03999999910593033
1778036386353901110,12597,1778036386353438845,F2008915,24.788890296,120.998343638,105.002,0.029999999329447746,289.92999267578125,-0.03999999910593033
1778036386354110525,12598,1778036386353630133,F2008915,24.788890296,120.998343638,105.002,0.03999999910593033,325.7900085449219,0.009999999776482582
1778036386387037120,12599,1778036386386713300,F2008915,24.788890296,120.998343638,105.002,0.03999999910593033,325.7900085449219,0.009999999776482582
1778036386387042557,12600,1778036386386828998,F2008915,24.788890296,120.998343638,105.002,0.03999999910593033,325.7900085449219,0.009999999776482582
1778036386387047427,12601,1778036386386863240,F2008915,24.788890296,120.998343638,105.002,0.03999999910593033,325.7900085449219,0.009999999776482582
1778036386424771197,12602,1778036386424502138,F2008915,24.788890494,120.998342516,104.954,0.03999999910593033,325.7900085449219,0.009999999776482582
1778036386424786568,12603,1778036386424562284,F2008915,24.788890494,120.998342516,104.954,0.05000000074505806,286.7099914550781,-0.07999999821186066
1778036386424790080,12604,1778036386424602119,F2008915,24.788890494,120.998342516,104.954,0.05000000074505806,286.7099914550781,-0.07999999821186066
1778036386424922869,12605,1778036386424645345,F2008915,24.788890494,120.998342516,104.954,0.05000000074505806,286.7099914550781,-0.07999999821186066
1778036386458541214,12606,1778036386458261839,F2008915,24.788890494,120.998342516,104.954,0.05000000074505806,286.7099914550781,-0.07999999821186066
1778036386458547467,12607,1778036386458419740,F2008915,24.788891053,120.998342049,105.108,0.05000000074505806,286.7099914550781,-0.07999999821186066
1778036386458928526,12608,1778036386458507628,F2008915,24.788891053,120.998342049,105.108,0.03999999910593033,289.0400085449219,0.0
1778036386496140447,12609,1778036386495954745,F2008915,24.788891053,120.998342049,105.108,0.03999999910593033,289.0400085449219,0.0
1778036386496176584,12610,1778036386496058394,F2008915,24.788891053,120.998342049,105.108,0.03999999910593033,289.0400085449219,0.0
1778036386496253190,12611,1778036386496126404,F2008915,24.788891053,120.998342049,105.108,0.03999999910593033,289.0400085449219,0.0
1778036386496387994,12612,1778036386496200100,F2008915,24.788891053,120.998342049,105.108,0.03999999910593033,289.0400085449219,0.0
1778036386533995961,12613,1778036386533695933,F2008915,24.7888918,120.998341624,105.265,0.07000000029802322,295.29998779296875,-0.05000000074505806
1778036386534224214,12614,1778036386533845920,F2008915,24.7888918,120.998341624,105.265,0.07000000029802322,295.29998779296875,-0.05000000074505806
1778036386534249604,12615,1778036386533940927,F2008915,24.7888918,120.998341624,105.265,0.07000000029802322,295.29998779296875,-0.05000000074505806
1778036386534259764,12616,1778036386534081916,F2008915,24.7888918,120.998341624,105.265,0.07000000029802322,295.29998779296875,-0.05000000074505806
1778036386567667510,12617,1778036386567381673,F2008915,24.788892334,120.998341299,105.41,0.07000000029802322,295.29998779296875,-0.05000000074505806
1778036386567769745,12618,1778036386567550721,F2008915,24.788892334,120.998341299,105.41,0.09000000357627869,337.67999267578125,0.019999999552965164
1778036386567781808,12619,1778036386567648611,F2008915,24.788892334,120.998341299,105.41,0.09000000357627869,337.67999267578125,0.019999999552965164
1778036386605230845,12620,1778036386605090406,F2008915,24.788892334,120.998341299,105.41,0.09000000357627869,337.67999267578125,0.019999999552965164
1778036386605269542,12621,1778036386605169584,F2008915,24.788892334,120.998341299,105.41,0.09000000357627869,337.67999267578125,0.019999999552965164
1778036386605335056,12622,1778036386605222336,F2008915,24.788893014,120.998341459,105.507,0.09000000357627869,337.67999267578125,0.019999999552965164
