%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Mag.x,field.Mag.y,field.Mag.z,field.Accel.x,field.Accel.y,field.Accel.z,field.Gyro.x,field.Gyro.y,field.Gyro.z,field.Temp,field.Vinp,field.Pressure,field.Barometric_Height
1778036278644154488,1370,1778036278643823386,F2008915,-42010.0,-42010.0,-42010.0,0.020654,-0.019064,0.990467,-0.12527,0.2771,0.03672,28.299999237060547,12.010000228881836,101.4000015258789,100414.0
1778036278644185066,1371,1778036278643875388,F2008915,-42280.0,-42280.0,-42280.0,0.03013,-0.022832,0.986568,0.10197,-0.3713,0.03359,28.299999237060547,12.130000114440918,101.4000015258789,100414.0
1778036278677845724,1372,1778036278677250956,F2008915,-41990.0,-41990.0,-41990.0,0.017559,0.014136,1.010154,0.04077,-0.84345,0.03469,28.299999237060547,12.15999984741211,101.37000274658203,100414.0
1778036278677885598,1374,1778036278677467919,F2008915,-42160.0,-42160.0,-42160.0,0.030246,-0.026572,0.990226,0.10394,0.55219,-0.05154,28.200000762939453,12.119999885559082,101.44000244140625,100412.0
1778036278715433857,1375,1778036278714911330,F2008915,-41920.0,-41920.0,-41920.0,0.029401,0.007638,1.00787,0.11183,-0.60682,-0.01924,28.200000762939453,12.109999656677246,101.44000244140625,100412.0
1778036278715464278,1376,1778036278714968608,F2008915,-42110.0,-42110.0,-42110.0,0.01821,0.000932,1.008858,-0.09407,0.18636,0.00584,28.299999237060547,12.050000190734863,101.3499984741211,100414.0
1778036278715483729,1378,1778036278715054087,F2008915,-41970.0,-41970.0,-41970.0,0.037418,-0.003905,1.001845,0.14274,-0.48905,-0.04557,28.299999237060547,12.029999732971191,101.37000274658203,100414.0
1778036278753149567,1379,1778036278752729574,F2008915,-42100.0,-42100.0,-42100.0,0.016771,0.011713,1.014261,-0.00395,-0.05499,-0.01761,28.399999618530273,12.079999923706055,101.37000274658203,100414.0
1778036278753185408,1380,1778036278752823462,F2008915,-41920.0,-41920.0,-41920.0,0.028138,-0.020904,0.995262,-0.06855,0.67082,-0.11415,28.399999618530273,11.979999542236328,101.37000274658203,100414.0
1778036278753196716,1381,1778036278752878526,F2008915,-42150.0,-42150.0,-42150.0,0.038429,-0.011582,0.992945,0.11981,-0.12869,-0.03849,28.299999237060547,12.140000343322754,101.37000274658203,100414.0
1778036278753228271,1382,1778036278752943374,F2008915,-42070.0,-42070.0,-42070.0,0.020192,0.020016,1.011382,0.01607,-0.54778,0.03248,28.299999237060547,12.0,101.45999908447266,100412.0
1778036278786678784,1383,1778036278786387988,F2008915,-41890.0,-41890.0,-41890.0,0.02437,-0.010264,0.99258,-0.16924,0.48894,0.00255,28.200000762939453,12.100000381469727,101.45999908447266,100412.0
1778036278786687207,1384,1778036278786450883,F2008915,-42130.0,-42130.0,-42130.0,0.03617,-0.021306,0.984099,0.07221,0.04875,-0.04592,28.200000762939453,12.010000228881836,101.43000030517578,100412.0
1778036278786690315,1385,1778036278786500449,F2008915,-41900.0,-41900.0,-41900.0,0.02624,0.014105,1.002147,0.11247,-0.76318,0.0531,28.299999237060547,12.109999656677246,101.43000030517578,100412.0
1778036278824571960,1386,1778036278824144697,F2008915,-41980.0,-41980.0,-41980.0,0.013282,-0.000941,0.998587,-0.07753,0.35909,0.05755,28.299999237060547,12.079999923706055,101.45999908447266,100412.0
1778036278824601057,1387,1778036278824239190,F2008915,-42040.0,-42040.0,-42040.0,0.029059,-0.02562,0.98361,-0.01425,0.43868,-0.01169,28.299999237060547,11.970000267028809,101.45999908447266,100412.0
1778036278824617186,1388,1778036278824298183,F2008915,-41870.0,-41870.0,-41870.0,0.028459,0.004508,0.99919,0.13577,-0.69154,0.03478,28.299999237060547,12.0600004196167,101.4000015258789,100414.0
1778036278824625854,1389,1778036278824351774,F2008915,-42050.0,-42050.0,-42050.0,0.010998,0.008737,1.006676,0.03223,-0.07701,0.03113,28.299999237060547,12.069999694824219,101.4000015258789,100414.0
1778036278858183774,1390,1778036278857734393,F2008915,-41920.0,-41920.0,-41920.0,0.026186,-0.022736,0.988734,0.01525,0.34109,-0.01404,28.200000762939453,12.010000228881836,101.48999786376953,100412.0
1778036278858219828,1391,1778036278857793713,F2008915,-42020.0,-42020.0,-42020.0,0.032946,-0.004787,0.998845,0.15572,-0.55154,-0.03245,28.299999237060547,12.100000381469727,101.48999786376953,100412.0
1778036278858235157,1392,1778036278857860041,F2008915,-42100.0,-42100.0,-42100.0,0.009042,0.018407,1.015891,0.00156,-0.34653,0.06174,28.299999237060547,12.0600004196167,101.5199966430664,100412.0
1778036278896092780,1393,1778036278895652773,F2008915,-41940.0,-41940.0,-41940.0,0.018668,-0.014765,0.997464,-0.15584,0.62047,-0.04616,28.299999237060547,12.020000457763672,101.5199966430664,100412.0
1778036278896115420,1394,1778036278895709484,F2008915,-42280.0,-42280.0,-42280.0,0.031268,-0.012346,0.994234,-0.00155,0.00044,-0.06628,28.200000762939453,12.050000190734863,101.5199966430664,100412.0
1778036278896126989,1395,1778036278895766237,F2008915,-42160.0,-42160.0,-42160.0,0.017504,0.018555,1.011447,-0.01116,-0.62394,0.01224,28.399999618530273,12.069999694824219,101.5199966430664,100412.0
1778036278896135798,1396,1778036278895797152,F2008915,-42090.0,-42090.0,-42090.0,0.016451,-0.007274,0.998778,-0.12283,0.4984,-0.07085,28.200000762939453,12.149999618530273,101.48999786376953,100412.0
1778036278933986592,1397,1778036278933341443,F2008915,-42340.0,-42340.0,-42340.0,0.030623,-0.021656,0.988291,0.03863,0.24653,-0.10961,28.200000762939453,12.039999961853027,101.48999786376953,100412.0
1778036278933998820,1398,1778036278933437719,F2008915,-42090.0,-42090.0,-42090.0,0.025235,0.010687,1.005372,0.03515,-0.69609,-0.06184,28.200000762939453,12.140000343322754,101.48999786376953,100412.0
1778036278934004427,1399,1778036278933496401,F2008915,-42220.0,-42220.0,-42220.0,0.014979,0.00019,1.004697,-0.10454,0.25756,-0.01934,28.200000762939453,12.039999961853027,101.48999786376953,100412.0
1778036278934008365,1400,1778036278933547086,F2008915,-42260.0,-42260.0,-42260.0,0.03321,-0.025706,0.988536,0.01546,0.51595,-0.07363,28.200000762939453,12.020000457763672,101.48999786376953,100412.0
1778036278967544171,1401,1778036278967028441,F2008915,-42120.0,-42120.0,-42120.0,0.039494,0.004431,1.004476,0.13322,-0.4812,-0.01429,28.200000762939453,12.09000015258789,101.48999786376953,100412.0
1778036278967560130,1402,1778036278967121412,F2008915,-42270.0,-42270.0,-42270.0,0.020968,0.015785,1.015073,-0.02901,0.01055,0.04988,28.299999237060547,12.09000015258789,101.5199966430664,100412.0
1778036278967572960,1403,1778036278967171885,F2008915,-42070.0,-42070.0,-42070.0,0.032311,-0.0187,0.995563,-0.06804,0.59639,-0.03271,28.200000762939453,12.020000457763672,101.5199966430664,100412.0
1778036279004938893,1404,1778036279004707361,F2008915,-42230.0,-42230.0,-42230.0,0.0434,-0.004971,0.99992,0.06642,-0.30237,-0.01925,28.299999237060547,12.09000015258789,101.48999786376953,100412.0
1778036279004944027,1405,1778036279004735987,F2008915,-42270.0,-42270.0,-42270.0,0.019657,0.01953,1.015013,-0.08628,-0.51023,0.05731,28.200000762939453,12.050000190734863,101.48999786376953,100412.0
1778036279004949629,1406,1778036279004763658,F2008915,-42090.0,-42090.0,-42090.0,0.022758,-0.01527,0.99569,-0.21583,0.61819,0.02882,28.399999618530273,12.029999732971191,101.48999786376953,100412.0
1778036279004954311,1407,1778036279004775253,F2008915,-42260.0,-42260.0,-42260.0,0.037473,-0.018354,0.988952,-0.03518,0.26769,-0.01018,28.200000762939453,12.039999961853027,101.48999786376953,100412.0
1778036279042958501,1408,1778036279042539470,F2008915,-41960.0,-41960.0,-41960.0,0.023872,0.012346,1.004093,-0.06307,-0.44221,0.02722,28.299999237060547,12.029999732971191,101.48999786376953,100412.0
1778036279042990666,1409,1778036279042634266,F2008915,-41900.0,-41900.0,-41900.0,0.021276,-0.009695,0.993952,-0.17402,0.54664,-0.00714,28.200000762939453,12.079999923706055,101.48999786376953,100412.0
1778036279043006898,1410,1778036279042688813,F2008915,-42080.0,-42080.0,-42080.0,0.038595,-0.026264,0.980825,-0.05855,0.21934,-0.02015,28.200000762939453,12.050000190734863,101.5199966430664,100412.0
1778036279043021183,1411,1778036279042741354,F2008915,-41840.0,-41840.0,-41840.0,0.032295,0.004439,0.994772,0.0139,-0.77405,0.00286,28.200000762939453,12.130000114440918,101.5199966430664,100412.0
1778036279076618638,1412,1778036279076158428,F2008915,-42040.0,-42040.0,-42040.0,0.019139,-0.00093,0.997878,-0.11527,0.25416,0.01628,28.200000762939453,12.069999694824219,101.5199966430664,100412.0
1778036279076667323,1414,1778036279076298242,F2008915,-41880.0,-41880.0,-41880.0,0.040445,-0.005132,0.991833,-0.00249,-0.29995,-0.01501,28.200000762939453,12.079999923706055,101.5199966430664,100412.0
1778036279114343818,1415,1778036279113980644,F2008915,-42000.0,-42000.0,-42000.0,0.019407,0.002036,1.003086,0.00067,0.07432,0.05465,28.200000762939453,12.079999923706055,101.5199966430664,100412.0
1778036279114377283,1416,1778036279114075312,F2008915,-41770.0,-41770.0,-41770.0,0.029343,-0.031116,0.986376,0.05786,0.69268,-0.01786,28.299999237060547,12.010000228881836,101.5199966430664,100412.0
1778036279114395188,1417,1778036279114134846,F2008915,-41990.0,-41990.0,-41990.0,0.035692,-0.02246,0.988349,0.24788,-0.17252,-0.03368,28.299999237060547,12.069999694824219,101.5199966430664,100412.0
1778036279114648169,1418,1778036279114187869,F2008915,-41910.0,-41910.0,-41910.0,0.017822,0.004364,1.007065,0.14332,-0.33995,0.04469,28.200000762939453,12.079999923706055,101.45999908447266,100412.0
1778036279147926519,1419,1778036279147633954,F2008915,-41740.0,-41740.0,-41740.0,0.014894,-0.021228,0.997437,0.10089,0.65718,0.00136,28.200000762939453,12.100000381469727,101.45999908447266,100412.0
1778036279147939088,1420,1778036279147727310,F2008915,-42050.0,-42050.0,-42050.0,0.025307,-0.025111,0.992464,0.2775,0.35851,-0.02292,28.200000762939453,12.109999656677246,101.4000015258789,100414.0
